Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,RAS,arm_length_inches,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
,,Francis Mauigoa,OT,Miami,2026,6-6,315,5.3,,,,,,,,0.03773584905660377,0.0047169811320754715,212.0,476.0,77.1,0.49200000000000005,0.452,0.00436046511627907
,,Spencer Fano,OT,Utah,2026,6-6,302,4.9,,,,,,,,0.019801980198019802,0.0,101.0,440.0,80.0,0.7,0.245,0.0073937153419593345
,,Kadyn Proctor,OT,Alabama,2026,6-7,366,5.1,,,,,,,,0.04247104247104247,0.003861003861003861,259.0,369.0,81.1,0.47700000000000004,0.45299999999999996,0.0
,,Caleb Lomu,OT,Utah,2026,6-6,304,5.0,,,,,,,,0.049019607843137254,0.0,102.0,440.0,62.0,0.7,0.245,0.007380073800738007
,,Monroe Freeling,OT,Georgia,2026,6-7,315,5.1,,,,,,,,0.04424778761061947,0.017699115044247787,113.0,422.0,61.7,0.455,0.45,0.003738317757009346
,,Caleb Tiernan,OT,Northwestern,2026,6-7,325,5.3,,,,,,,,0.042105263157894736,0.0,190.0,405.0,59.7,0.348,0.583,0.005042016806722689
,,Blake Miller,OT,Clemson,2026,6-6,315,5.18,,,,,,,,0.05670103092783505,0.010309278350515464,194.0,346.0,73.3,0.506,0.36700000000000005,0.001851851851851852
,,Isaiah World,OT,Nevada,2026,6-8,318,5.4,,,,,,,,,,,,,,,
,,Max Iheanachor,OT,Arizona State,2026,6-6,325,5.15,,,,,,,,0.06832298136645963,0.0,161.0,376.0,66.8,0.588,0.33,0.0148975791433892
,,Drew Shelton,OT,Penn State,2026,6-5,305,5.2,,,,,,,,0.07339449541284404,0.009174311926605505,109.0,362.0,66.4,0.624,0.32,0.0021231422505307855
,,Austin Barber,OT,Florida,2026,6-7,318,5.25,,,,,,,,0.08571428571428572,0.02142857142857143,140.0,328.0,90.0,0.317,0.634,0.010683760683760684
,,Markel Bell,OT,Miami,2026,6-9,340,5.4,,,,,,,,0.04245283018867924,0.0,212.0,476.0,66.0,0.49200000000000005,0.452,0.0014534883720930232
,,Jude Bowry,OT,Boston College,2026,6-5,314,5.1,,,,,,,,0.09022556390977443,0.0,133.0,189.0,68.2,0.6559999999999999,0.29600000000000004,0.006211180124223602
,,J.C. Davis,OT,New Mexico,2026,6-4,335,5.3,,,,,,,,,,,,,,,
,,Kage Casey,OT,Boise State,2026,6-5,309,5.25,,,,,,,,0.031578947368421054,0.015789473684210527,190.0,434.0,75.8,0.546,0.39399999999999996,0.0016025641025641025
,,Keagen Trost,OT,Indiana State,2026,6-4,316,5.4,,,,,,,,,,,,,,,
,,Aamil Wagner,OT,Notre Dame,2026,6-6,296,5.15,,,,,,,,0.044444444444444446,0.007407407407407408,135.0,354.0,61.9,0.353,0.59,0.00408997955010225
,,Isaiah Jatta,OT,Colorado,2026,6-6,315,5.3,,,,,,,,,,,,,,,
,,Trey Zuhn III,OT,Texas A&M,2026,6-6,309,5.1,,,,,,,,0.046296296296296294,0.009259259259259259,216.0,341.0,59.7,0.504,0.46,0.0017953321364452424
,,Alan Herron,OT,Maryland,2026,6-6,320,5.4,,,,,,,,0.07171314741035857,0.00796812749003984,251.0,239.0,58.7,0.41,0.498,0.0020408163265306124
,,Nolan Rucci,OT,Wisconsin,2026,6-8,307,5.2,,,,,,,,,,,,,,,
,,Tristan Leigh,OT,Clemson,2026,6-6,310,5.2,,,,,,,,0.050724637681159424,0.0,138.0,227.0,42.3,0.502,0.38299999999999995,0.010958904109589041
,,Fernando Carmona,OT,San Jose State,2026,6-4,318,5.15,,,,,,,,,,,,,,,
,,Riley Mahlman,OT,Wisconsin,2026,6-8,320,5.2,,,,,,,,0.07692307692307693,0.015384615384615385,130.0,368.0,58.8,0.397,0.467,0.002008032128514056
