Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent
1,3,Peter Woods,DT,Clemson,2026,75.0,315.0,4.86,,,,,,,,16.0,8.1,362.0,10.1
1,14,Caleb Banks,DT,Florida,2026,78.0,334.0,5.2,,,,,,,,20.0,11.2,233.0,4.3
1,21,Christen Miller,DT,Georgia,2026,76.0,310.0,,,,,,,,,17.6,11.3,244.0,7.4
2,39,A'Mauri Washington,DT,Oregon,2026,75.0,330.0,,,,,,,,,10.9,8.2,358.0,7.2
2,47,Kayden McDonald,DT,Ohio State,2026,75.0,326.0,,,,,,,,,7.7,4.0,230.0,13.8
2,58,Dontay Corleone,DT,Cincinnati,2026,73.0,325.0,5.1,,,,,,,,10.5,5.0,167.0,3.9
2,61,Domonique Orange,DT,Iowa State,2026,76.0,325.0,5.3,,,,,,,,17.5,6.9,317.0,6.9
3,79,C.J. Fite,DT,Arizona State,2026,74.0,300.0,,,,,,,,,2.1,2.3,316.0,4.1
3,82,Darrell Jackson Jr.,DT,Florida State,2026,77.0,340.0,5.05,,,,,,,,9.6,5.8,252.0,8.9
4,114,Skyler Gill-Howard,DT,Texas Tech,2026,73.0,290.0,,,,,,,,,16.1,14.4,104.0,11.7
4,124,Albert Regis,DT,Texas A&M,2026,73.0,317.0,,,,,,,,,6.3,4.2,257.0,9.0
4,130,Bear Alexander,DT,Oregon,2026,75.0,315.0,5.1,,,,,,,,19.8,10.1,311.0,10.6
5,158,David Oke,DT,Arkansas,2026,74.0,312.0,,,,,,,,,0.0,0.0,30.0,6.5
5,178,Cole Brevard,DT,Texas,2026,75.0,346.0,,,,,,,,,9.4,8.0,148.0,4.9
5,184,Tim Keenan III,DT,Alabama,2026,74.0,320.0,,,,,,,,,3.8,2.7,202.0,3.6
5,187,DeMonte Capehart,DT,Clemson,2026,77.0,315.0,4.75,,,,,,,,6.6,5.2,204.0,8.6
6,205,Lee Hunter,DT,Texas Tech,2026,76.0,327.0,5.2,,,,,,,,17.5,10.6,328.0,11.9
6,226,Zxavian Harris,DT,Ole Miss,2026,80.0,330.0,,,,,,,,,9.2,7.0,354.0,8.1
6,234,Zane Durant,DT,Penn State,2026,73.0,292.0,4.66,,,,,,,,12.6,6.9,241.0,4.3
6,241,Rayshaun Benny,DT,Michigan,2026,76.0,296.0,,,,,,,,,11.3,7.8,268.0,7.5
7,253,Keanu Tanuvasa,DT,BYU,2026,76.0,300.0,,,,,,,,,,,,
7,281,James Smith,DT,Alabama,2026,75.0,297.0,4.88,,,,,,,,3.2,2.5,215.0,5.5
7,285,Gracen Halton,DT,Oklahoma,2026,74.0,292.0,,,,,,,,,14.4,10.4,259.0,10.2
7,296,Keeshawn Silver,DT,USC,2026,76.0,330.0,,,,,,,,,6.9,3.1,167.0,4.4
7,307,Landon Robinson,DT,Navy,2026,72.0,280.0,,,,,,,,,15.8,10.2,373.0,7.7
7,311,Brandon Cleveland,DT,NC State,2026,76.0,300.0,,,,,,,,,10.6,6.7,273.0,8.9
